2020-08-19 15:00:09,858|INFO    |numexpr.utils|_init_num_threads|NumExpr defaulting to 8 threads.
2020-08-19 15:00:37,792|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.325859e+03, l1:1.648461e+03, TSV:4.568057e+01, beta:1.981860e+02, sum:9.881389e+03
2020-08-19 15:00:37,865|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.325616e+03, l1:1.640153e+03, TSV:4.099289e+01, beta:1.802981e+02, sum:9.822164e+03
2020-08-19 15:00:37,939|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.338872e+03, l1:1.629929e+03, TSV:3.742519e+01, beta:1.726723e+02, sum:9.784180e+03
2020-08-19 15:00:38,015|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.335147e+03, l1:1.623010e+03, TSV:3.423699e+01, beta:1.678762e+02, sum:9.743699e+03
2020-08-19 15:00:38,087|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.332923e+03, l1:1.619617e+03, TSV:3.292251e+01, beta:1.660457e+02, sum:9.724758e+03
2020-08-19 15:00:38,158|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.324890e+03, l1:1.621351e+03, TSV:3.266884e+01, beta:1.659144e+02, sum:9.721275e+03
2020-08-19 15:00:38,231|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.317444e+03, l1:1.623286e+03, TSV:3.252884e+01, beta:1.656685e+02, sum:9.719258e+03
2020-08-19 15:00:38,305|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.314932e+03, l1:1.623827e+03, TSV:3.250306e+01, beta:1.654284e+02, sum:9.718136e+03
2020-08-19 15:00:38,378|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.314175e+03, l1:1.623359e+03, TSV:3.249315e+01, beta:1.646624e+02, sum:9.715103e+03
2020-08-19 15:00:38,450|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.319540e+03, l1:1.620963e+03, TSV:3.249924e+01, beta:1.635115e+02, sum:9.711758e+03
2020-08-19 15:00:38,524|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.325587e+03, l1:1.618563e+03, TSV:3.251997e+01, beta:1.616707e+02, sum:9.708441e+03
2020-08-19 15:00:38,595|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.330953e+03, l1:1.616647e+03, TSV:3.259594e+01, beta:1.596724e+02, sum:9.705991e+03
2020-08-19 15:00:38,667|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.332696e+03, l1:1.616009e+03, TSV:3.267214e+01, beta:1.579694e+02, sum:9.704252e+03
2020-08-19 15:00:38,739|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.332569e+03, l1:1.615816e+03, TSV:3.281887e+01, beta:1.543515e+02, sum:9.700363e+03
2020-08-19 15:00:38,812|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.327263e+03, l1:1.617111e+03, TSV:3.336919e+01, beta:1.465261e+02, sum:9.693064e+03
2020-08-19 15:00:38,886|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.319520e+03, l1:1.618538e+03, TSV:3.433789e+01, beta:1.365423e+02, sum:9.682916e+03
2020-08-19 15:00:38,957|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.298212e+03, l1:1.622981e+03, TSV:3.632083e+01, beta:1.179559e+02, sum:9.663340e+03
2020-08-19 15:00:39,028|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.270508e+03, l1:1.628181e+03, TSV:3.764982e+01, beta:9.952978e+01, sum:9.637858e+03
2020-08-19 15:00:39,099|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.237029e+03, l1:1.633971e+03, TSV:3.756902e+01, beta:8.643541e+01, sum:9.609337e+03
2020-08-19 15:00:39,171|INFO    |solver_mfreq|multi_freq_cost_l1_tsv|mfreq solving: chi2:4.220413e+03, l1:1.636000e+03, TSV:3.570338e+01, beta:8.309715e+01, sum:9.589899e+03
